run,K_1_tau,K_1_K_used,K_1_N,K_1_n_in,K_1_gap_med,K_1_gap_q80,K_1_gap_le_5,K_1_gap_le_10,K_1_r50,K_1_r80,K_1_tight,K_1_beta_r,K_5_tau,K_5_K_used,K_5_N,K_5_n_in,K_5_gap_med,K_5_gap_q80,K_5_gap_le_5,K_5_gap_le_10,K_5_r50,K_5_r80,K_5_tight,K_5_beta_r,K_10pctN_tau,K_10pctN_K_used,K_10pctN_N,K_10pctN_n_in,K_10pctN_gap_med,K_10pctN_gap_q80,K_10pctN_gap_le_5,K_10pctN_gap_le_10,K_10pctN_r50,K_10pctN_r80,K_10pctN_tight,K_10pctN_beta_r,K_25pctN_tau,K_25pctN_K_used,K_25pctN_N,K_25pctN_n_in,K_25pctN_gap_med,K_25pctN_gap_q80,K_25pctN_gap_le_5,K_25pctN_gap_le_10,K_25pctN_r50,K_25pctN_r80,K_25pctN_tight,K_25pctN_beta_r
20,1275,1,55,1,14.089662770418954,17.14220005307525,0.037037037037037035,0.2037037037037037,70.27341584042367,75.40396163223888,0.9319592010717159,0.01818181818181818,2301.0,5.0,9.0,5.0,0.6394716686502306,0.9471254344069167,1.0,1.0,57.60261097557934,64.97842998949572,0.8864881928494003,0.1111111111111111,1607,3,30,3,5.776902039224751,7.934551515114253,0.4074074074074074,1.0,66.30217157243663,71.63009870652068,0.9256188776744065,0.03333333333333333,1960,4,16,4,1.9953274285123825,2.677299240346565,1.0,1.0,57.49301661091538,69.55988964973658,0.8265254142928777,0.0625
21,1289,1,54,1,8.774396684012117,12.105182510464237,0.1509433962264151,0.6037735849056604,70.86722971786214,76.88416188640508,0.9217402905759337,0.018518518518518517,1497.0,5.0,37.0,5.0,4.533892753057216,6.230271240496132,0.5625,1.0,66.81892236933736,73.40264635776555,0.9103067216904003,0.02702702702702703,1485,4,38,4,4.537106651823251,6.519678551714696,0.5588235294117647,1.0,67.26276721594574,74.20187847044335,0.9064833478944655,0.02631578947368421,1713,7,25,7,2.4853276342751087,3.7212797537352347,1.0,1.0,67.94409880471285,74.23583641224765,0.9152466260015524,0.04
22,1234,1,59,1,9.016292956821417,14.161451265832056,0.20689655172413793,0.5862068965517241,60.65401271645559,67.67593764354287,0.8962419262800232,0.01694915254237288,1313.0,5.0,52.0,5.0,6.298409850690405,10.992877992318705,0.3404255319148936,0.7872340425531915,59.783612454205375,67.27564458424412,0.8886367841387673,0.019230769230769232,1314,6,51,6,6.298409850690405,10.202034518593067,0.3333333333333333,0.8,59.71822081598294,67.17334408352369,0.8890166424010243,0.0196078431372549,1391,12,45,12,4.912138735239296,8.0403092974223,0.5757575757575758,0.9090909090909091,59.86967278129745,67.63616168639085,0.8851725362372818,0.022222222222222223
23,1278,1,55,1,10.970114715187947,13.623558198238426,0.05555555555555555,0.3888888888888889,71.50720382703086,79.99252621982961,0.8939235601901107,0.01818181818181818,1490.0,5.0,38.0,5.0,5.3259939478762135,7.388690657223378,0.3939393939393939,1.0,69.35159027790404,77.39385286096491,0.896086545820267,0.02631578947368421,1453,4,40,4,6.293078215806418,8.47200381109451,0.2777777777777778,1.0,68.98669892918609,76.4259767867225,0.9026603496570705,0.025,1765,6,23,6,2.38881998975603,3.4788483980345517,1.0,1.0,64.31556374064088,69.56637868032259,0.9245207952564168,0.043478260869565216
24,1309,1,52,1,9.062303535893989,13.227527933621332,0.21568627450980393,0.5294117647058824,62.447296057347,69.20048496163962,0.9024112488801754,0.019230769230769232,1452.0,5.0,40.0,5.0,5.583735482378415,8.68849270671208,0.42857142857142855,0.9428571428571428,60.58903732632395,64.81575036357263,0.9347887972670272,0.025,1448,4,40,4,5.704876537243308,8.501664221420015,0.4444444444444444,0.9444444444444444,60.52798564298857,64.81575036357263,0.9338468706057926,0.025,1571,8,32,8,4.040185792013972,5.843687548168783,0.6666666666666666,1.0,57.850953129423786,63.62108869283114,0.9093046711088814,0.03125
25,1320,1,51,1,11.986133764527722,14.78861166162551,0.04,0.34,63.12687722678774,71.55417034655494,0.8822249901165552,0.0196078431372549,1741.0,5.0,24.0,5.0,4.055955513838853,4.949408049939848,0.7894736842105263,1.0,64.25529653358126,74.54884660639047,0.8619220747014639,0.041666666666666664,1635,3,29,3,5.000783912550787,6.89616003207675,0.5,1.0,61.68824129872163,70.0694907390541,0.8803866083236555,0.034482758620689655,1829,5,20,5,3.404949460489661,4.248775077023493,1.0,1.0,63.77647575994613,72.8724150768334,0.8751799387011269,0.05
26,1017,1,87,1,23.011313392185457,30.42082056084746,0.011627906976744186,0.023255813953488372,73.85322567522483,80.84745344597785,0.9134885828478624,0.011494252873563218,1418.0,5.0,43.0,5.0,7.052540193634513,8.33672496203999,0.2894736842105263,0.9736842105263158,68.50450645317493,75.05755397504987,0.9126930312163748,0.023255813953488372,1418,5,43,5,7.052540193634513,8.33672496203999,0.2894736842105263,0.9736842105263158,68.50450645317493,75.05755397504987,0.9126930312163748,0.023255813953488372,1644,7,28,7,3.060674249537442,4.098303783891879,0.9523809523809523,1.0,63.54336070484113,70.48561734274186,0.901508181390489,0.03571428571428571
27,1163,1,67,1,16.502004510918596,22.574462330171173,0.015151515151515152,0.13636363636363635,68.19064789196783,76.19504696705457,0.8949485643266589,0.014925373134328358,1836.0,5.0,20.0,5.0,2.986048898244917,3.3694754125943294,1.0,1.0,61.169093450602745,67.4805094812278,0.9064705338008627,0.05,1607,3,30,3,4.045211912274681,5.713855901206353,0.6666666666666666,1.0,60.853357284079976,69.08407451856722,0.8808594123631904,0.03333333333333333,1836,5,20,5,2.986048898244917,3.3694754125943294,1.0,1.0,61.169093450602745,67.4805094812278,0.9064705338008627,0.05
28,1096,1,76,1,18.35531055854517,26.690772224810644,0.0,0.10666666666666667,71.30880818529216,81.16037574280963,0.8786160430215817,0.013157894736842105,1736.0,5.0,24.0,5.0,2.909563628154501,3.62343780884612,1.0,1.0,61.26865567827829,68.8387565015256,0.8900314124198404,0.041666666666666664,1650,3,28,3,3.5640110908816496,4.332225436502358,0.88,1.0,63.76843965405527,71.87161884443327,0.8872548118344544,0.03571428571428571,1829,5,20,5,1.7596570391347086,3.067843419254859,1.0,1.0,60.971601202887854,66.0354889726743,0.923315661796918,0.05
29,1300,1,53,1,9.907491743362698,14.684535861941459,0.1346153846153846,0.5,69.73513943533584,74.76425266325114,0.9327337190064997,0.018867924528301886,1493.0,5.0,37.0,5.0,5.928449621459777,7.659576465279406,0.40625,1.0,67.41332107002863,72.30844661593866,0.932302161434747,0.02702702702702703,1480,4,38,4,5.998946367488088,7.720815024871718,0.4117647058823529,0.9705882352941176,67.73366439393432,71.70323291751663,0.9446389184690085,0.02631578947368421,1644,7,28,7,3.9386673286367113,5.337316860990995,0.6666666666666666,1.0,64.14756794491032,69.85852788222465,0.9182496380836638,0.03571428571428571
30,1248,1,58,1,12.963574815762058,16.03452142528877,0.07017543859649122,0.3333333333333333,64.11284731176706,73.87097882535483,0.8679030429980106,0.017241379310344827,1703.0,5.0,26.0,5.0,3.3227162568468884,4.905350852004631,0.8095238095238095,1.0,57.66451059567469,63.69047403063705,0.905386739121086,0.038461538461538464,1607,3,30,3,4.2047304462898865,6.870074716271574,0.6666666666666666,1.0,58.58486235744822,63.69744378694733,0.9197364740946361,0.03333333333333333,1760,6,23,6,2.176758178383352,4.22747830056569,1.0,1.0,57.797942017888325,62.178032338631944,0.9295556620883576,0.043478260869565216
31,1295,1,53,1,8.614330635204624,13.374599240464795,0.17307692307692307,0.5769230769230769,66.81346112444042,73.53239290685448,0.908626232374552,0.018867924528301886,1941.0,5.0,17.0,5.0,1.2335167831015497,2.5222908283584737,1.0,1.0,65.42895901477203,71.91985855236273,0.9097481604073948,0.058823529411764705,1671,3,27,3,3.1427922693756045,4.438210057711604,0.9583333333333334,1.0,63.11279178900027,69.56408269942833,0.9072611804815609,0.037037037037037035,1941,5,17,5,1.2335167831015497,2.5222908283584737,1.0,1.0,65.42895901477203,71.91985855236273,0.9097481604073948,0.058823529411764705
32,1343,1,49,1,10.481311269291837,13.574346727586727,0.125,0.4166666666666667,69.2072430965193,73.49986292512628,0.9415969002149047,0.02040816326530612,1631.0,5.0,29.0,5.0,5.3888298948752436,6.870323128489236,0.4583333333333333,1.0,62.81390365442937,71.68241233704101,0.8762805492522613,0.034482758620689655,1545,4,34,4,6.496058440665138,8.46936155702979,0.4,0.9666666666666667,67.33636362739995,72.53834160339056,0.9282865053018049,0.029411764705882353,1829,5,20,5,2.5691221864603904,4.563512780814927,0.9333333333333333,1.0,60.651482834329876,65.20544784374596,0.9301597464627663,0.05
33,1312,1,52,1,11.022803059351645,13.46681791699757,0.13725490196078433,0.43137254901960786,67.32906864735658,72.86265797971933,0.924054522772104,0.019230769230769232,1652.0,5.0,28.0,5.0,3.309796026683671,6.28636292290912,0.6956521739130435,1.0,60.99737654317353,66.50364558001182,0.9172035008184086,0.03571428571428571,1581,4,32,4,4.12685071411488,7.185412819560407,0.6071428571428571,1.0,66.45439520834816,67.51632377512428,0.9842715286111686,0.03125,1729,6,24,6,2.3180995460741087,4.04126302356035,0.8888888888888888,1.0,66.00570243505491,67.14128777688218,0.9830866314986251,0.041666666666666664
34,1343,1,49,1,6.28600090386044,10.839665894800874,0.3333333333333333,0.75,63.44636088040109,68.81832451016629,0.9219399241698827,0.02040816326530612,1526.0,5.0,35.0,5.0,3.4503873330741044,4.717486158526573,0.8,1.0,62.90945917719435,65.409615953757,0.9617769231617229,0.02857142857142857,1476,4,38,4,4.106358318292905,5.541124916414901,0.7058823529411765,1.0,62.82904941125952,65.29375612222938,0.9622520305562456,0.02631578947368421,1629,8,29,8,1.7868474136607801,2.65860013874817,1.0,1.0,63.41102224846832,64.92388827623579,0.9766978523940129,0.034482758620689655
35,1216,1,61,1,17.38596544655229,21.643375069301968,0.016666666666666666,0.1,75.26876465430495,83.84207593394456,0.8977445252382092,0.01639344262295082,1809.0,5.0,21.0,5.0,4.506047688278613,6.6964047087758445,0.5625,1.0,68.14659114558087,74.28023605763116,0.9174256136276757,0.047619047619047616,1548,4,34,4,9.601423793304093,10.96098454887624,0.26666666666666666,0.5666666666666667,71.13621956917854,79.5201480037132,0.8945685006252355,0.029411764705882353,1829,5,20,5,4.453774059375519,6.1104197467380805,0.6,1.0,67.7198032384367,74.29856783348431,0.9114550281804659,0.05
36,1222,1,61,1,15.08952535217145,19.506999434208957,0.0,0.15,65.05256404661237,71.90783991042439,0.9046658073396221,0.01639344262295082,1818.0,5.0,21.0,5.0,4.196766538887232,5.162895199473951,0.75,1.0,59.717902460381275,66.44095007333077,0.898811687588313,0.047619047619047616,1612,3,30,3,6.182887710805062,7.389797945679857,0.2962962962962963,1.0,60.669244561632226,66.20227036096654,0.9164224161925928,0.03333333333333333,1829,5,20,5,4.066891504784962,4.631779227648531,0.8,1.0,59.27447051243138,66.18921574955812,0.8955306365422089,0.05
37,1158,1,68,1,18.566248298632672,24.707774615940345,0.04477611940298507,0.14925373134328357,64.59723070256189,75.19945605384429,0.8590119409415542,0.014705882352941176,1432.0,5.0,42.0,5.0,7.599392417206218,12.767095243871244,0.35135135135135137,0.5675675675675675,59.08975374158497,71.73889364778555,0.8236780738729579,0.023809523809523808,1432,5,42,5,7.599392417206218,12.767095243871244,0.35135135135135137,0.5675675675675675,59.08975374158497,71.73889364778555,0.8236780738729579,0.023809523809523808,1644,7,28,7,2.7280266835882685,5.688973802197324,0.7619047619047619,1.0,54.906793796722475,63.72281713280988,0.8616504459036515,0.03571428571428571
38,1243,1,58,1,13.138443094987906,17.323272375820398,0.08771929824561403,0.3508771929824561,68.3260142262359,77.64895613234759,0.8799347425840298,0.017241379310344827,1419.0,5.0,43.0,5.0,6.456691890785578,10.853245600713944,0.2631578947368421,0.6842105263157895,70.0085820848285,76.00369828511437,0.9211207304966101,0.023255813953488372,1419,5,43,5,6.456691890785578,10.853245600713944,0.2631578947368421,0.6842105263157895,70.0085820848285,76.00369828511437,0.9211207304966101,0.023255813953488372,1569,9,33,9,4.164209679628584,6.155668189686639,0.625,1.0,66.94798067096701,74.35959131925331,0.9003274424079941,0.030303030303030304
39,1305,1,52,1,9.825176354516316,14.802190797279309,0.1568627450980392,0.5294117647058824,64.85907495319958,72.79425610680752,0.8909916581609814,0.019230769230769232,1453.0,5.0,40.0,5.0,5.973580110795865,8.592886644559712,0.3142857142857143,0.9142857142857143,61.98135942677857,67.92935634780987,0.9124384913854248,0.025,1449,4,40,4,5.9852865487989675,8.5870565051232,0.3333333333333333,0.9166666666666666,61.98301727192252,67.92935634780987,0.9124628968153168,0.025,1626,8,29,8,3.0508846001434904,4.982507864875515,0.8095238095238095,1.0,60.2725069849368,65.50624409796129,0.9201032331330476,0.034482758620689655
40,1250,1,58,1,14.128987563022292,16.827763156996934,0.15789473684210525,0.2807017543859649,71.38443286677912,78.41777388575458,0.9103093511781881,0.017241379310344827,1785.0,5.0,22.0,5.0,1.9690310501359818,3.359515369784913,0.9411764705882353,1.0,64.78848938476025,68.8634365474506,0.9408256780812486,0.045454545454545456,1515,4,36,4,5.8152130630605825,9.789531730478485,0.4375,0.84375,66.25910093306578,74.00846736115871,0.8952908132757798,0.027777777777777776,1829,5,20,5,1.522138424439163,2.863614987534311,1.0,1.0,65.3501597775269,69.26761177632237,0.9434446792904362,0.05
